what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1309194629479
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1309194629479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194644476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194644572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194646508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309194646541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194654966
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1309194657100
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1309194657141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194672519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1309194672555
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194681841
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194685129
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194685148
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309194686487
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194686487
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194687836
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309194687883
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309194696806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194711754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194711863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194713951
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1309194713981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309194713981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309194720984
